evaluations raw_y
1 28.0000000000
11 30.0000000000
40 32.0000000000
110 34.0000000000
525 36.0000000000
1048 38.0000000000
1954 40.0000000000
3282 42.0000000000
3739 44.0000000000
5100 42.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
8 32.0000000000
42 36.0000000000
514 38.0000000000
1631 40.0000000000
2850 42.0000000000
4613 44.0000000000
5100 36.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
3 30.0000000000
34 32.0000000000
255 36.0000000000
1311 38.0000000000
1485 40.0000000000
2565 42.0000000000
3202 44.0000000000
4659 46.0000000000
5100 44.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
62 30.0000000000
77 32.0000000000
100 34.0000000000
742 36.0000000000
843 38.0000000000
2084 40.0000000000
2347 42.0000000000
3598 44.0000000000
5100 40.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
7 30.0000000000
25 32.0000000000
122 34.0000000000
494 36.0000000000
1059 38.0000000000
1454 40.0000000000
2047 42.0000000000
2216 44.0000000000
2861 46.0000000000
4147 48.0000000000
5100 46.0000000000
evaluations raw_y
1 24.0000000000
4 26.0000000000
10 30.0000000000
11 34.0000000000
486 36.0000000000
1049 38.0000000000
2330 40.0000000000
2589 42.0000000000
3753 44.0000000000
4670 46.0000000000
5100 42.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
11 30.0000000000
57 32.0000000000
59 34.0000000000
117 36.0000000000
1075 38.0000000000
2318 40.0000000000
2859 42.0000000000
3106 44.0000000000
4365 46.0000000000
4758 48.0000000000
5100 38.0000000000
evaluations raw_y
1 24.0000000000
4 26.0000000000
6 28.0000000000
12 32.0000000000
158 36.0000000000
1160 38.0000000000
2361 40.0000000000
2967 42.0000000000
4179 44.0000000000
5100 36.0000000000
evaluations raw_y
1 18.0000000000
2 28.0000000000
35 30.0000000000
53 34.0000000000
109 36.0000000000
598 38.0000000000
1317 40.0000000000
2571 42.0000000000
4038 44.0000000000
4921 46.0000000000
5100 44.0000000000
evaluations raw_y
1 20.0000000000
2 30.0000000000
3 32.0000000000
59 34.0000000000
401 36.0000000000
724 38.0000000000
776 40.0000000000
1981 42.0000000000
3446 44.0000000000
4910 46.0000000000
4933 48.0000000000
5100 36.0000000000
evaluations raw_y
1 26.0000000000
3 30.0000000000
48 32.0000000000
130 34.0000000000
484 38.0000000000
1322 40.0000000000
2597 42.0000000000
4354 44.0000000000
4706 46.0000000000
5100 40.0000000000
evaluations raw_y
1 26.0000000000
7 28.0000000000
13 34.0000000000
1018 36.0000000000
1633 38.0000000000
1672 40.0000000000
3169 44.0000000000
5100 44.0000000000
evaluations raw_y
1 26.0000000000
6 32.0000000000
66 34.0000000000
520 36.0000000000
1311 38.0000000000
1615 40.0000000000
2853 42.0000000000
3429 44.0000000000
3472 46.0000000000
4916 48.0000000000
5100 44.0000000000
evaluations raw_y
1 30.0000000000
28 34.0000000000
524 36.0000000000
738 38.0000000000
2283 40.0000000000
2386 42.0000000000
4010 44.0000000000
4651 46.0000000000
5100 42.0000000000
evaluations raw_y
1 30.0000000000
76 34.0000000000
757 38.0000000000
2209 40.0000000000
2667 42.0000000000
3549 44.0000000000
4455 46.0000000000
5100 40.0000000000
evaluations raw_y
1 28.0000000000
4 30.0000000000
27 32.0000000000
193 34.0000000000
472 36.0000000000
564 40.0000000000
1417 42.0000000000
3288 44.0000000000
3489 46.0000000000
4644 48.0000000000
5100 44.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
4 32.0000000000
84 36.0000000000
1314 38.0000000000
1380 40.0000000000
3402 42.0000000000
4150 44.0000000000
5100 40.0000000000
evaluations raw_y
1 28.0000000000
2 32.0000000000
196 34.0000000000
502 36.0000000000
725 38.0000000000
1673 40.0000000000
2881 42.0000000000
4473 44.0000000000
5100 24.0000000000
evaluations raw_y
1 26.0000000000
2 30.0000000000
12 32.0000000000
57 34.0000000000
299 36.0000000000
758 40.0000000000
2910 42.0000000000
5100 38.0000000000
evaluations raw_y
1 26.0000000000
5 32.0000000000
23 34.0000000000
467 36.0000000000
1792 38.0000000000
2348 40.0000000000
4031 42.0000000000
5033 44.0000000000
5100 34.0000000000
