evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
430 2.2603978300
586 2.6427061311
4489 2.8344671202
5100 0.9130752374
evaluations raw_y
1 1.5299877601
20 1.6254876463
23 1.7730496454
75 2.0000000000
149 2.1663778163
1090 2.2603978300
1620 2.8868360277
5100 1.3572204126
evaluations raw_y
1 1.0692899914
3 1.3340448239
13 1.4863258026
15 1.6254876463
30 1.6425755585
35 1.7146776406
52 1.9747235387
216 2.0525451560
506 2.2935779817
2018 2.8868360277
5100 0.9130752374
evaluations raw_y
1 1.1825922422
2 1.2291052114
5 1.7146776406
8 1.8573551263
44 1.9025875190
289 2.0000000000
600 2.1663778163
889 2.2603978300
1163 2.3992322457
1387 2.4752475248
4471 2.5987525988
5099 2.6427061311
5100 1.4188422247
evaluations raw_y
1 1.3935340022
2 1.4318442153
14 1.5923566879
33 1.7531556802
54 1.8142235123
65 2.1968365554
120 2.3992322457
1359 2.5562372188
3743 2.6881720430
5100 1.1394712853
evaluations raw_y
1 1.1825922422
3 1.2007684918
4 1.4585764294
6 1.7146776406
8 1.8573551263
25 1.8796992481
30 1.9747235387
222 2.1367521368
445 2.1663778163
787 2.1968365554
1031 2.2281639929
1304 2.2935779817
2623 2.3992322457
3275 2.4366471735
3289 2.4752475248
5100 0.9520182788
evaluations raw_y
1 1.1737089202
3 1.2794268168
5 1.5006002401
8 1.5151515152
20 2.1367521368
137 2.2281639929
156 2.5987525988
3482 2.6427061311
4167 2.7839643653
5100 2.4366471735
evaluations raw_y
1 0.4820671037
2 1.0548523207
3 1.4060742407
8 2.6427061311
2907 2.8868360277
5053 2.9411764706
5100 1.3007284079
evaluations raw_y
1 1.0137875101
2 1.0271158587
4 1.0339123242
5 1.4863258026
13 1.5151515152
28 1.5762925599
29 1.6600265604
43 1.8142235123
49 1.8573551263
195 1.9260400616
279 2.2935779817
1796 2.5150905433
1922 2.6881720430
2321 2.7839643653
4149 2.9411764706
5100 1.5006002401
evaluations raw_y
1 1.0692899914
2 1.1071744907
5 1.4188422247
19 1.5151515152
28 1.6600265604
52 1.7531556802
83 1.8573551263
288 2.0000000000
505 2.2603978300
742 2.5562372188
4940 2.6427061311
5100 0.8394895903
evaluations raw_y
1 1.6960651289
17 2.3992322457
1378 2.5987525988
2865 2.6427061311
2904 2.8868360277
5100 0.8771929825
evaluations raw_y
1 1.6778523490
12 1.7730496454
65 2.1367521368
277 2.2281639929
424 2.5562372188
3434 2.5987525988
4794 2.9976019185
5100 1.3227513228
evaluations raw_y
1 1.0204081633
4 1.5605493134
12 1.6600265604
23 1.7337031900
32 1.7730496454
85 1.9260400616
256 2.1663778163
723 2.5562372188
5100 1.4188422247
evaluations raw_y
1 0.6589351608
2 1.1478420569
5 1.7730496454
35 1.8573551263
73 1.9260400616
178 2.1663778163
408 2.6881720430
4790 2.7352297593
5100 1.2690355330
evaluations raw_y
1 1.5762925599
41 1.6960651289
50 1.8142235123
160 1.8796992481
220 2.1663778163
246 2.4366471735
786 2.6427061311
5100 1.0993843448
evaluations raw_y
1 2.0525451560
259 2.3992322457
724 2.7352297593
5100 1.9500780031
evaluations raw_y
1 0.9520182788
2 1.5006002401
24 1.5299877601
36 1.6425755585
38 1.7337031900
60 1.9500780031
75 2.0798668885
125 2.1079258010
133 2.2281639929
503 2.2603978300
2582 2.9411764706
5100 1.4318442153
evaluations raw_y
1 1.2291052114
2 1.2487512488
6 1.3227513228
7 1.6600265604
13 2.0000000000
157 2.4366471735
457 2.5987525988
499 2.6427061311
1340 2.7352297593
5100 0.7768800497
evaluations raw_y
1 0.8090614887
2 0.8871540099
3 1.1916110582
4 1.8573551263
58 2.2603978300
88 2.3629489603
1120 2.3992322457
1763 2.8868360277
5100 1.4723203769
evaluations raw_y
1 1.5299877601
26 2.0259319287
100 2.0798668885
483 2.1367521368
871 2.4366471735
3190 2.6427061311
5100 0.4036164030
