evaluations raw_y
1 28.0000000000
4 32.0000000000
71 34.0000000000
256 36.0000000000
595 38.0000000000
1006 40.0000000000
1347 42.0000000000
1706 44.0000000000
2173 46.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
20 32.0000000000
93 34.0000000000
246 36.0000000000
411 38.0000000000
808 40.0000000000
1023 44.0000000000
1486 46.0000000000
3353 48.0000000000
5000 48.0000000000
evaluations raw_y
1 24.0000000000
2 36.0000000000
564 40.0000000000
815 42.0000000000
1456 44.0000000000
1872 46.0000000000
5000 44.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
3 26.0000000000
11 30.0000000000
54 32.0000000000
63 34.0000000000
128 36.0000000000
406 38.0000000000
681 40.0000000000
929 44.0000000000
1992 46.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
8 28.0000000000
12 30.0000000000
17 36.0000000000
464 38.0000000000
699 40.0000000000
1007 44.0000000000
1842 46.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
3 30.0000000000
24 32.0000000000
26 36.0000000000
377 38.0000000000
504 40.0000000000
1086 42.0000000000
1401 44.0000000000
1933 46.0000000000
5000 46.0000000000
evaluations raw_y
1 36.0000000000
486 40.0000000000
1135 42.0000000000
1220 44.0000000000
1270 46.0000000000
5000 40.0000000000
evaluations raw_y
1 26.0000000000
4 30.0000000000
28 32.0000000000
144 34.0000000000
238 36.0000000000
569 38.0000000000
811 40.0000000000
1059 42.0000000000
1385 44.0000000000
1670 46.0000000000
2615 48.0000000000
5000 46.0000000000
evaluations raw_y
1 24.0000000000
3 30.0000000000
48 34.0000000000
290 38.0000000000
817 40.0000000000
1005 42.0000000000
1413 44.0000000000
2011 46.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
2 28.0000000000
16 32.0000000000
99 34.0000000000
138 38.0000000000
355 40.0000000000
883 42.0000000000
1007 44.0000000000
1258 46.0000000000
1466 48.0000000000
5000 46.0000000000
evaluations raw_y
1 22.0000000000
2 30.0000000000
12 32.0000000000
93 34.0000000000
307 36.0000000000
330 40.0000000000
1035 42.0000000000
1415 44.0000000000
1760 46.0000000000
5000 44.0000000000
evaluations raw_y
1 22.0000000000
2 26.0000000000
6 30.0000000000
8 32.0000000000
105 34.0000000000
210 36.0000000000
501 38.0000000000
602 40.0000000000
1060 42.0000000000
1417 44.0000000000
1770 46.0000000000
5000 44.0000000000
evaluations raw_y
1 22.0000000000
3 32.0000000000
203 34.0000000000
247 36.0000000000
402 38.0000000000
815 40.0000000000
823 42.0000000000
1450 44.0000000000
5000 42.0000000000
evaluations raw_y
1 30.0000000000
60 32.0000000000
79 36.0000000000
394 38.0000000000
648 40.0000000000
849 42.0000000000
1001 44.0000000000
1432 48.0000000000
5000 48.0000000000
evaluations raw_y
1 26.0000000000
4 30.0000000000
12 32.0000000000
16 34.0000000000
33 36.0000000000
290 38.0000000000
643 40.0000000000
1363 42.0000000000
1808 44.0000000000
1994 46.0000000000
2301 48.0000000000
5000 48.0000000000
evaluations raw_y
1 24.0000000000
2 30.0000000000
50 32.0000000000
234 34.0000000000
419 36.0000000000
574 38.0000000000
824 40.0000000000
1049 42.0000000000
1303 44.0000000000
5000 44.0000000000
evaluations raw_y
1 24.0000000000
3 28.0000000000
23 30.0000000000
33 32.0000000000
112 34.0000000000
184 36.0000000000
557 38.0000000000
941 40.0000000000
1211 42.0000000000
1920 44.0000000000
5000 42.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
26 30.0000000000
35 34.0000000000
349 36.0000000000
610 38.0000000000
811 40.0000000000
1214 42.0000000000
1227 44.0000000000
1841 46.0000000000
2426 48.0000000000
5000 46.0000000000
evaluations raw_y
1 20.0000000000
2 24.0000000000
3 28.0000000000
7 30.0000000000
29 32.0000000000
36 34.0000000000
210 36.0000000000
223 38.0000000000
626 40.0000000000
900 42.0000000000
1049 44.0000000000
1342 46.0000000000
5000 44.0000000000
evaluations raw_y
1 26.0000000000
7 28.0000000000
8 32.0000000000
27 34.0000000000
256 38.0000000000
761 40.0000000000
864 42.0000000000
1351 44.0000000000
3145 46.0000000000
5000 44.0000000000
