evaluations raw_y
1 0.8973438622
2 1.0766580534
4 1.5923566879
30 1.7146776406
39 1.7730496454
70 1.8796992481
94 1.9025875190
107 2.1968365554
372 2.2935779817
656 2.5150905433
2433 2.5987525988
2565 2.7352297593
3059 2.9976019185
3409 3.0562347188
3525 3.2467532468
5000 3.1806615776
evaluations raw_y
1 1.0548523207
2 1.1071744907
3 1.3572204126
9 1.4188422247
11 1.7730496454
69 1.8796992481
107 1.9260400616
250 2.0259319287
318 2.0525451560
331 2.1663778163
460 2.4752475248
1796 2.5987525988
2327 2.6881720430
2426 3.3875338753
5000 3.3875338753
evaluations raw_y
1 0.9184423218
2 1.7531556802
184 1.9260400616
256 1.9747235387
292 2.0525451560
367 2.6881720430
1005 2.7839643653
1746 2.9976019185
2463 3.0562347188
2605 3.1806615776
2684 3.3875338753
3258 3.7993920973
3336 3.8940809969
3400 3.9936102236
3841 4.0983606557
4826 4.3252595156
5000 4.0983606557
evaluations raw_y
1 1.1563367253
2 1.2899896801
8 1.4585764294
11 2.0000000000
32 2.1968365554
91 2.2603978300
629 2.3992322457
1527 2.5987525988
2415 2.9411764706
2702 3.2467532468
2815 3.3875338753
2982 4.0983606557
5000 4.0983606557
evaluations raw_y
1 0.8132726090
2 0.8722958828
3 1.3935340022
7 1.5151515152
17 1.8355359765
198 1.8573551263
367 2.1968365554
457 2.3992322457
1103 2.5562372188
1426 2.6881720430
2352 2.7839643653
2396 3.5410764873
5000 3.5410764873
evaluations raw_y
1 1.1563367253
2 1.4863258026
8 1.5451174289
16 1.8142235123
35 2.0259319287
387 2.2603978300
691 2.2935779817
974 2.3992322457
1162 2.5562372188
2042 2.6881720430
2443 2.7352297593
2510 2.7839643653
2802 2.8344671202
2814 2.9976019185
3080 3.0562347188
3147 3.2467532468
3341 3.3156498674
3401 3.3875338753
3708 3.6231884058
3958 3.7993920973
5000 3.7993920973
evaluations raw_y
1 0.9025270758
2 1.2007684918
6 2.4752475248
246 2.5150905433
2053 2.5987525988
2507 3.1172069825
4278 3.3156498674
4374 3.5410764873
4509 3.7091988131
5000 2.9411764706
evaluations raw_y
1 1.0692899914
2 1.4723203769
10 2.0525451560
70 2.1968365554
311 2.2603978300
517 2.2935779817
591 2.4366471735
1439 2.7352297593
3089 2.8344671202
3191 2.9976019185
3227 3.2467532468
3544 3.7091988131
5000 3.3156498674
evaluations raw_y
1 0.8394895903
2 1.5451174289
17 1.6254876463
33 1.6778523490
38 2.0000000000
187 2.0259319287
198 2.5150905433
2064 2.5562372188
2265 2.8868360277
2437 3.0562347188
2466 3.7091988131
5000 3.7091988131
evaluations raw_y
1 1.3116474292
2 1.7531556802
54 1.8573551263
155 2.3992322457
593 2.5150905433
840 2.5562372188
1685 2.5987525988
1940 2.7352297593
2027 2.7839643653
3337 2.8344671202
3438 2.9411764706
3454 3.3156498674
3603 3.6231884058
4601 3.7091988131
5000 3.6231884058
evaluations raw_y
1 1.3935340022
4 1.5451174289
16 2.0000000000
101 2.1968365554
277 2.2603978300
1051 3.1806615776
2942 3.3156498674
2989 3.3875338753
3565 3.5410764873
3750 3.7091988131
4220 3.7993920973
5000 3.7993920973
evaluations raw_y
1 1.5151515152
26 1.5923566879
32 2.2603978300
577 2.3992322457
785 2.6881720430
4046 3.1806615776
4439 3.4626038781
4814 3.8940809969
5000 2.4366471735
evaluations raw_y
1 1.0692899914
3 1.4060742407
10 1.4723203769
14 1.6960651289
31 1.9747235387
312 2.6427061311
1021 2.7352297593
2661 3.2467532468
4614 3.5410764873
5000 2.9976019185
evaluations raw_y
1 1.1150758252
3 1.2690355330
4 1.4723203769
17 2.0259319287
92 2.1367521368
111 2.5562372188
1685 2.8868360277
3336 3.1172069825
3423 3.3156498674
4089 3.4626038781
5000 3.4626038781
evaluations raw_y
1 0.9637625289
2 1.1649580615
5 1.2195121951
6 1.3116474292
10 1.6254876463
17 1.7730496454
21 1.8573551263
42 1.8796992481
192 2.3992322457
963 2.5562372188
1633 2.7352297593
3271 2.7839643653
3623 2.9411764706
3674 3.2467532468
4336 3.5410764873
4678 3.7091988131
4683 3.9936102236
4833 4.3252595156
4886 4.5787545788
5000 3.1172069825
evaluations raw_y
1 0.9238728751
2 1.4188422247
3 1.5451174289
24 1.6600265604
52 1.7730496454
78 1.9500780031
148 1.9747235387
157 2.0000000000
293 2.3992322457
1060 2.4752475248
1426 2.5562372188
2614 2.5987525988
2766 2.6427061311
2821 3.3156498674
3684 4.0983606557
5000 3.5410764873
evaluations raw_y
1 1.1394712853
2 1.6600265604
8 2.2281639929
283 2.2603978300
357 2.5150905433
1438 2.6427061311
2183 2.7839643653
2540 2.8868360277
2820 3.1172069825
3122 3.2467532468
3299 3.4626038781
4805 4.0983606557
5000 3.4626038781
evaluations raw_y
1 1.0407993339
2 1.7146776406
55 1.8796992481
121 1.9500780031
156 2.5150905433
268 2.6881720430
1554 2.8344671202
2941 2.9976019185
3096 4.0983606557
5000 4.0983606557
evaluations raw_y
1 0.8175277959
2 1.1230907457
3 1.5762925599
11 1.5923566879
61 1.6087516088
71 1.6425755585
102 1.8142235123
131 1.9260400616
403 2.6427061311
543 2.6881720430
2064 3.3156498674
3341 3.5410764873
3532 4.4483985765
5000 4.4483985765
evaluations raw_y
1 1.1825922422
2 1.5923566879
13 1.9747235387
71 2.0798668885
234 2.1663778163
984 2.5150905433
1230 2.6427061311
1356 2.7352297593
2202 3.1806615776
2431 3.3875338753
5000 2.8868360277
