evaluations raw_y
1 24.0000000000
2 30.0000000000
31 34.0000000000
101 36.0000000000
109 38.0000000000
110 42.0000000000
125 50.0000000000
5000 50.0000000000
evaluations raw_y
1 18.0000000000
2 30.0000000000
3 32.0000000000
14 34.0000000000
104 42.0000000000
110 44.0000000000
124 46.0000000000
126 48.0000000000
205 50.0000000000
5000 50.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
3 24.0000000000
11 26.0000000000
17 30.0000000000
25 32.0000000000
101 44.0000000000
188 46.0000000000
230 48.0000000000
250 50.0000000000
5000 50.0000000000
evaluations raw_y
1 22.0000000000
3 24.0000000000
4 26.0000000000
6 28.0000000000
7 32.0000000000
104 40.0000000000
127 42.0000000000
147 44.0000000000
202 48.0000000000
207 50.0000000000
5000 50.0000000000
evaluations raw_y
1 28.0000000000
39 32.0000000000
107 36.0000000000
125 38.0000000000
153 40.0000000000
154 48.0000000000
222 50.0000000000
5000 36.0000000000
evaluations raw_y
1 24.0000000000
5 26.0000000000
10 30.0000000000
50 32.0000000000
104 36.0000000000
115 44.0000000000
128 48.0000000000
154 50.0000000000
5000 50.0000000000
evaluations raw_y
1 22.0000000000
3 26.0000000000
5 28.0000000000
12 30.0000000000
70 32.0000000000
103 44.0000000000
107 48.0000000000
276 50.0000000000
5000 50.0000000000
evaluations raw_y
1 30.0000000000
6 32.0000000000
9 38.0000000000
110 42.0000000000
123 44.0000000000
140 50.0000000000
5000 50.0000000000
evaluations raw_y
1 28.0000000000
9 30.0000000000
27 34.0000000000
102 36.0000000000
108 42.0000000000
155 44.0000000000
207 48.0000000000
217 50.0000000000
5000 50.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
4 32.0000000000
51 34.0000000000
101 48.0000000000
201 50.0000000000
5000 50.0000000000
evaluations raw_y
1 18.0000000000
2 24.0000000000
3 30.0000000000
4 32.0000000000
75 34.0000000000
103 48.0000000000
234 50.0000000000
5000 50.0000000000
evaluations raw_y
1 18.0000000000
2 24.0000000000
11 26.0000000000
17 30.0000000000
111 44.0000000000
113 50.0000000000
5000 22.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
4 30.0000000000
8 32.0000000000
113 34.0000000000
119 48.0000000000
206 50.0000000000
5000 50.0000000000
evaluations raw_y
1 26.0000000000
7 30.0000000000
14 32.0000000000
58 34.0000000000
71 36.0000000000
104 44.0000000000
115 48.0000000000
260 50.0000000000
5000 50.0000000000
evaluations raw_y
1 20.0000000000
3 22.0000000000
4 24.0000000000
8 28.0000000000
27 30.0000000000
105 34.0000000000
123 42.0000000000
143 44.0000000000
183 46.0000000000
207 50.0000000000
5000 50.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
4 32.0000000000
102 36.0000000000
120 44.0000000000
161 46.0000000000
174 48.0000000000
222 50.0000000000
5000 50.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
4 30.0000000000
99 32.0000000000
111 40.0000000000
117 50.0000000000
5000 50.0000000000
evaluations raw_y
1 26.0000000000
3 30.0000000000
29 34.0000000000
105 40.0000000000
107 44.0000000000
115 46.0000000000
205 48.0000000000
217 50.0000000000
5000 50.0000000000
evaluations raw_y
1 18.0000000000
2 20.0000000000
3 22.0000000000
4 24.0000000000
21 28.0000000000
46 30.0000000000
104 42.0000000000
117 50.0000000000
5000 50.0000000000
evaluations raw_y
1 20.0000000000
2 28.0000000000
3 32.0000000000
27 36.0000000000
102 40.0000000000
106 46.0000000000
174 50.0000000000
5000 50.0000000000
